Timestamp, ACCx, ACCy, ACCz, GYRx, GYRy, GYRz, MAGx, MAGy, MAGz, pressure1, pressure2, yaw, pitch, depth, velocity
2024-04-14 11:11:56, -612, -1371, -3690, 9, -15, -24, 838, 229, 3468, -71, -130, -19.544079303741455, -12.65123724937439, -0.16910811017013808, 1.3183892961249086
2024-04-14 11:11:56, -695, -1338, -3590, 7, -15, 0, 871, 207, 3469, -72, -133, -19.544079303741455, -16.805700063705444, -0.17301060502021823, 1.340548651304476
2024-04-14 11:11:56, -695, -1150, -3805, 15, -23, -38, 872, 183, 3475, -72, -132, -30.075567722320557, -23.18001103401184, -0.1717097734035248, 1.3295151414427329
2024-04-14 11:11:57, -680, -1181, -3700, 1, -17, -38, 872, 194, 3482, -73, -134, -40.60151147842407, -27.888993978500366, -0.1743114366369116, 1.340548651304476
2024-04-14 11:11:57, -626, -1182, -3731, 9, -17, -22, 868, 190, 3462, -73, -133, -46.68552350997925, -32.59026384353638, -0.17301060502021823, 1.3295151414427335
2024-04-14 11:11:57, -662, -1159, -3729, 15, -13, -32, 875, 203, 3456, -70, -131, -55.564712047576904, -36.19744658470154, -0.17040894178683144, 1.3405486513044755
2024-04-14 11:11:58, -649, -1195, -3732, -6, -6, -14, 874, 191, 3427, -72, -132, -59.44838237762451, -37.86187958717346, -0.1717097734035248, 1.3295151414427329
2024-04-14 11:11:58, -625, -1170, -3702, 11, -16, -32, 889, 183, 3419, -71, -134, -68.32529735565186, -42.30032181739807, -0.1743114366369116, 1.36234761969615
2024-04-14 11:11:58, -627, -1213, -3725, 17, -21, -32, 870, 184, 3463, -71, -131, -77.20530986785889, -48.127825021743774, -0.17040894178683144, 1.329515141442733
2024-04-14 11:11:58, -607, -1320, -3747, 7, -13, -11, 878, 178, 3428, -73, -132, -80.25289416313171, -51.72952175140381, -0.1717097734035248, 1.3183892961249086
2024-04-14 11:11:59, -727, -740, -3282, 23, -7, 17, 900, 172, 3449, -71, -130, -75.53780317306519, -53.67102813720703, -0.16910811017013808, 1.3183892961249086
2024-04-14 11:11:59, -441, -1063, -3685, 35, -23, -5, 881, 149, 3433, -69, -131, -76.92267537117004, -60.04145121574402, -0.17040894178683144, 1.3514920871773564
2024-04-14 11:11:59, -644, -1242, -3651, 22, -7, -9, 897, 159, 3459, -73, -132, -79.41406345367432, -61.97919583320618, -0.1717097734035248, 1.3183892961249086
2024-04-14 11:12:00, -708, -1345, -3723, 2, -13, -9, 968, 73, 3467, -72, -129, -81.91040825843811, -65.58494353294373, -0.1678072785534447, 1.295851066195192
2024-04-14 11:12:00, -726, -1301, -3736, 1, -29, -22, 640, 24, 3361, -71, -132, -88.00577092170715, -73.61991953849792, -0.1717097734035248, 1.3405486513044753
2024-04-14 11:12:00, 468, -496, -4758, 7, -7, -45, 572, -66, 3266, -71, -131, -100.4672281742096, -75.55837178230286, -0.17040894178683144, 1.329515141442733
2024-04-14 11:12:00, -623, -1192, -3727, 12, -13, -19, 450, -156, 3011, -72, -131, -105.73641514778137, -79.1636049747467, -0.17040894178683144, 1.3183892961249086
2024-04-14 11:12:01, -617, -1227, -3753, 12, -18, 1, 375, -136, 3047, -72, -134, -105.4595696926117, -84.14681029319763, -0.1743114366369116, 1.3514920871773564
2024-04-14 11:12:01, -651, -1108, -3685, 25, 0, -53, 335, -146, 3053, -71, -132, -120.14305639266968, -84.14681029319763, -0.1717097734035248, 1.3405486513044753
2024-04-14 11:12:01, -749, -1169, -3518, 23, -28, -53, 328, -144, 3143, -72, -132, -134.82608819007874, -91.90387034416199, -0.1717097734035248, 1.3295151414427329
2024-04-14 11:12:01, -598, -825, -3898, -6, -101, -33, 320, -148, 3157, -71, -131, -143.96598505973816, -119.87751817703247, -0.17040894178683144, 1.329515141442733
2024-04-14 11:12:02, -654, -1237, -3736, 1, -5, 1, 311, -156, 3174, -73, -134, -143.6887390613556, -121.2637505531311, -0.1743114366369116, 1.340548651304476
