Timestamp (s), Current (mA), Voltage (V), Power (mW)
0.00, 1846.25, 13.63, 25140.00
1.98, 1847.50, 13.62, 25230.00
3.45, 1847.50, 13.63, 25150.00
4.92, 1845.00, 13.62, 25140.00
6.19, 1845.00, 13.62, 25140.00
7.55, 1850.00, 13.62, 25220.00
8.85, 1846.25, 13.62, 25130.00
10.37, 1848.75, 13.62, 25190.00
11.61, 1845.00, 13.62, 25200.00
12.99, 1848.75, 13.61, 25200.00
14.52, 1851.25, 13.61, 25200.00
16.34, 1847.50, 13.61, 25170.00
17.84, 1843.75, 13.61, 25090.00
19.31, 1850.00, 13.61, 25190.00
20.63, 1850.00, 13.61, 25130.00
